school_id,school_name,district,block,total_enrolled,has_electricity,has_drinking_water,has_separate_girls_toilet,has_boys_toilet,mdm_served_status,mdm_grain_procured_kg,mdm_grain_unit_raw,avg_student_attendance_pct,avg_test_score,reported_dropout_rate_pct,mdm_grain_procured_raw,proxy_attendance_flag,infrastructure_score,welfare_efficacy_index,retention_risk_level,priority_action
SCH-1001,Govt High School 1,North Valley,Block Gamma,330,True,True,True,True,False,3144.2,kg,100.0,12.5,26.0,3144.2,True,100.0,70.0,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1002,Model Primary School 2,Lake Plateau,Block Epsilon,509,True,False,False,False,True,2860.0,quintal,79.7,85.3,10.4,28.6,False,30.0,65.9,HIGH,District Officer Advisory
SCH-1003,Govt High School 3,East Coast,Block Gamma,698,False,True,True,False,True,3410.0,quintals,62.4,64.0,24.3,34.1,False,55.0,70.7,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1004,Govt High School 4,North Valley,Block Beta,376,True,True,True,False,False,2297.8,kilograms,61.7,41.8,26.3,2297.8,False,85.0,52.5,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1005,Sarvodaya Kanya School 5,Lake Plateau,Block Beta,626,True,True,True,False,False,3470.0,qtl,76.6,78.1,22.1,34.7,False,85.0,57.0,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1006,Govt High School 6,East Coast,Block Delta,354,True,True,False,True,False,2362.9,kg,63.4,41.7,8.0,2362.9,False,75.0,49.0,HIGH,District Officer Advisory
SCH-1007,Adarsh Vidyalaya 7,Lake Plateau,Block Epsilon,518,False,False,False,True,True,1830.0,ton,82.8,35.1,19.5,1.83,False,15.0,60.8,HIGH,District Officer Advisory
SCH-1008,Zila Parishad School 8,West Plain,Block Epsilon,559,True,False,True,True,True,578.0,kg,89.8,46.4,9.3,578.0,False,70.0,84.9,MEDIUM,Standard Monitoring
SCH-1009,Govt High School 9,Lake Plateau,Block Gamma,592,True,True,True,True,False,2310.0,quintal,74.9,59.0,22.1,23.1,False,100.0,62.5,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1010,Govt High School 10,Central Zila,Block Gamma,580,True,True,False,False,True,990.0,quintals,72.6,71.1,23.1,9.9,False,60.0,75.8,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1011,Sarvodaya Kanya School 11,South Hill,Block Beta,566,True,True,False,True,False,3382.4,kilograms,92.2,69.9,12.1,3382.4,False,75.0,57.7,HIGH,District Officer Advisory
SCH-1012,Adarsh Vidyalaya 12,West Plain,Block Epsilon,542,True,True,True,True,False,2140.0,quintals,54.0,64.8,7.6,21.4,False,100.0,56.2,HIGH,District Officer Advisory
SCH-1013,Adarsh Vidyalaya 13,North Valley,Block Epsilon,323,False,True,False,True,True,2587.1,kg,89.6,54.8,12.3,2587.1,False,45.0,74.9,HIGH,District Officer Advisory
SCH-1014,Zila Parishad School 14,East Coast,Block Delta,500,False,True,True,True,True,524.8,kg,63.7,40.7,6.5,524.8,False,70.0,77.1,HIGH,District Officer Advisory
SCH-1015,Zila Parishad School 15,South Hill,Block Gamma,553,True,True,False,True,True,2350.0,quintals,71.2,30.9,21.5,23.5,False,75.0,81.4,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1016,Zila Parishad School 16,West Plain,Block Delta,298,False,True,True,False,True,1075.2,kilograms,84.3,85.3,27.9,1075.2,False,55.0,77.3,CRITICAL,Urgent Infrastructure & Welfare Taskforce
SCH-1017,Zila Parishad School 17,South Hill,Block Beta,383,True,True,False,True,True,2670.0,quintals,45.1,78.7,5.7,26.7,False,75.0,73.5,HIGH,District Officer Advisory
SCH-1018,Govt High School 18,South Hill,Block Alpha,689,True,True,True,False,True,1010.0,ton,74.1,61.8,15.4,1.01,False,85.0,86.2,HIGH,District Officer Advisory
SCH-1019,Model Primary School 19,Lake Plateau,Block Gamma,324,False,False,True,True,True,1710.0,qtl,92.0,64.1,16.4,17.1,False,40.0,73.6,HIGH,District Officer Advisory
