School Code,School Name,District Name,Block,Enrolled Students,Electricity Available,Drinking Water Facility,Separate Girls Toilet,Boys Toilet,Mid Day Meal Served,Grain Quantity Procured,Procurement Unit,Attendance Rate,Average Marks,Annual Dropout Rate
SCH-1001,Govt High School 1,North Valley,Block Gamma,330,Hai,1, ha ,Y,Nahi,3144.2,KG,100%,12.5,26.0
SCH-1002,Model Primary School 2,Lake Plateau,Block Epsilon,509,Hai,Nahi,false,No,Yes,28.6,quintal,79.7,85.3,10.4
SCH-1003,Govt High School 3,East Coast,Block Gamma,698,No,Yes, ha ,Nahi,true,34.1,Quintals,62.4,64.0,24.3
SCH-1004,Govt High School 4,North Valley,Block Beta,376,Y,Hai,Y,0,No,2297.8,Kilograms,61.7,41.8,26.3
SCH-1005,Sarvodaya Kanya School 5,Lake Plateau,Block Beta,626, ha ,Hai,1,Nahi,0,34.7,Qtl,76.6,78.1,22.1
SCH-1006,Govt High School 6,East Coast,Block Delta,354,Y,Hai,false, ha ,N,2362.9,kg,63.4,41.7,8.0
SCH-1007,Adarsh Vidyalaya 7,Lake Plateau,Block Epsilon,518,false,0,N,Hai,1,1.83,Ton,82.8,35.1,19.5
SCH-1008,Zila Parishad School 8,West Plain,Block Epsilon,559,true,No,true,Yes,  Yes  ,578.0,KG,89.8,46.4,9.3
SCH-1009,Govt High School 9,Lake Plateau,Block Gamma,592,1,true,Y,  Yes  ,No,23.1,quintal,74.9,59.0,22.1
SCH-1010,Govt High School 10,Central Zila,Block Gamma,580,Yes,Y,N,No,Hai,9.9,Quintals,72.6%,71.1,23.1
SCH-1011,Sarvodaya Kanya School 11,South Hill,Block Beta,566,true,1,No,true,false,3382.4,Kilograms,92.2,69.9,12.1
SCH-1012,Adarsh Vidyalaya 12,West Plain,Block Epsilon,542,Y,Hai,Hai,Y,N,21.4,Quintals,0.54,64.8,7.6
SCH-1013,Adarsh Vidyalaya 13,North Valley,Block Epsilon,323,No,  Yes  ,Nahi,Hai,true,2587.1,kg,89.6,54.8,12.3
SCH-1014,Zila Parishad School 14,East Coast,Block Delta,500,Nahi, ha ,Yes,  Yes  ,  Yes  ,524.8,KG,63.7,40.7,6.5
SCH-1015,Zila Parishad School 15,South Hill,Block Gamma,553,Hai,Y,Nahi,true,Y,23.5,Quintals,71.2%,30.9,21.5
SCH-1016,Zila Parishad School 16,West Plain,Block Delta,298,0,Yes,1,0,Yes,1075.2,Kilograms,84.3,85.3,27.9
SCH-1017,Zila Parishad School 17,South Hill,Block Beta,383,Hai,Yes,false, ha ,true,26.7,Quintals,45.1,78.7,5.7
SCH-1018,Govt High School 18,South Hill,Block Alpha,689,Y,  Yes  ,Hai,0,Y,1.01,Ton,74.1,61.8,15.4
SCH-1019,Model Primary School 19,Lake Plateau,Block Gamma,324,No,0,1,  Yes  ,  Yes  ,17.1,Qtl,0.92,64.1,16.4
SCH-1020,Sarvodaya Kanya School 20,South Hill,Block Epsilon,351,1,N,Y,Hai,Nahi,7.2,Qtl,100%,12.5,26.0
SCH-1021,Sarvodaya Kanya School 21,East Coast,Block Alpha,217,No,Y,Y, ha ,true,1098.7,kg,74.7,65.0,8.5
SCH-1022,Govt High School 22,North Valley,Block Delta,363,Yes,Yes,N,1,  Yes  ,7.3,Qtl,65.9,32.0,26.5
SCH-1023,Model Primary School 23,Central Zila,Block Alpha,458,false,true,1,0,1,12.2,Quintals,90.5,81.6,7.1
